slected_features_pso
Power ratio (theta) _ ch 50
Power ratio (theta) _ ch 57
histogram_amp _ ch 11 _ bin 3
Med Freq _ ch 43
Power ratio (theta) _ ch 59
histogram_amp _ ch 11 _ bin 6
Power ratio (theta) _ ch 23
Mean Freq _ ch 23
histogram_amp _ ch 49 _ bin 4
Max Freq _ ch 24
histogram_amp _ ch 9 _ bin 3
histogram_amp _ ch 20 _ bin 7
histogram_amp _ ch 20 _ bin 6
correlation 39_59
histogram_amp _ ch 49 _ bin 7
histogram_amp _ ch 11 _ bin 2
Med Freq _ ch 23
Med Freq _ ch 33
Med Freq _ ch 59
Mean Freq _ ch 33
correlation 13_53
histogram_amp _ ch 9 _ bin 6
Max Freq _ ch 51
correlation 23_25
Power ratio (theta) _ ch 42
correlation 44_59
correlation 40_56
histogram_amp _ ch 18 _ bin 6
histogram_amp _ ch 20 _ bin 8
Variance _ ch 43
histogram_amp _ ch 11 _ bin 7
correlation 49_56
Power ratio (beta) _ ch 50
Power ratio (beta) _ ch 41
Mean Freq _ ch 56
histogram_amp _ ch 49 _ bin 6
Max Freq _ ch 40
histogram_amp _ ch 38 _ bin 2
correlation 18_55
correlation 42_58
correlation 31_59
Variance _ ch 13
Power ratio (gamma) _ ch 47
Power ratio (beta) _ ch 23
correlation 22_33
correlation 6_26
Power ratio (gamma) _ ch 40
histogram_amp _ ch 36 _ bin 6
histogram_amp _ ch 25 _ bin 7
Variance _ ch 53
correlation 23_57
correlation 6_15
correlation 57_58
Mean Freq _ ch 43
Power ratio (gamma) _ ch 31
histogram_amp _ ch 49 _ bin 5
correlation 41_50
Variance _ ch 50
correlation 28_57
correlation 3_53
histogram_amp _ ch 24 _ bin 3
Variance _ ch 7
correlation 31_33
Med Freq _ ch 53
Mean Freq _ ch 54
Power ratio (alpha) _ ch 26
correlation 29_33
histogram_amp _ ch 19 _ bin 1
correlation 43_55
Med Freq _ ch 49
histogram_amp _ ch 49 _ bin 8
histogram_amp _ ch 36 _ bin 2
histogram_amp _ ch 25 _ bin 9
correlation 43_58
correlation 28_43
correlation 36_58
Med Freq _ ch 55
correlation 38_58
correlation 41_59
correlation 30_57
Power ratio (gamma) _ ch 44
correlation 28_58
Variance _ ch 35
histogram_amp _ ch 31 _ bin 2
Power ratio (theta) _ ch 40
Max Freq _ ch 30
histogram_amp _ ch 41 _ bin 3
correlation 17_26
histogram_amp _ ch 54 _ bin 3
Mean Freq _ ch 49
correlation 35_56
Variance _ ch 36
histogram_amp _ ch 1 _ bin 3
histogram_amp _ ch 20 _ bin 10
correlation 34_37
histogram_amp _ ch 45 _ bin 5
Power ratio (beta) _ ch 25
correlation 13_45
Mean Freq _ ch 47
correlation 50_56
correlation 47_56
correlation 23_51
correlation 25_30
Power ratio (alpha) _ ch 19
correlation 32_39
Mean Freq _ ch 22
histogram_amp _ ch 31 _ bin 7
histogram_amp _ ch 24 _ bin 2
histogram_amp _ ch 18 _ bin 2
histogram_amp _ ch 13 _ bin 1
Power ratio (theta) _ ch 58
correlation 37_56
Power ratio (beta) _ ch 40
Power ratio (alpha) _ ch 43
correlation 4_45
histogram_amp _ ch 27 _ bin 2
Power ratio (theta) _ ch 19
histogram_amp _ ch 38 _ bin 4
correlation 37_52
correlation 53_58
correlation 26_54
Power ratio (alpha) _ ch 17
correlation 35_53
correlation 4_25
Power ratio (alpha) _ ch 23
correlation 3_42
