features_fisher_mlp
Max Freq _ ch 54
Power ratio (theta) _ ch 50
Max Freq _ ch 51
correlation 48_52
correlation 42_56
Med Freq _ ch 23
Mean Freq _ ch 59
Variance _ ch 43
histogram_amp _ ch 20 _ bin 7
correlation 37_59
histogram_amp _ ch 11 _ bin 4
correlation 44_59
Med Freq _ ch 43
Mean Freq _ ch 23
Med Freq _ ch 47
Power ratio (theta) _ ch 42
correlation 41_52
correlation 39_59
histogram_amp _ ch 20 _ bin 4
Med Freq _ ch 56
histogram_amp _ ch 9 _ bin 3
histogram_amp _ ch 9 _ bin 7
correlation 13_53
histogram_amp _ ch 25 _ bin 5
Power ratio (beta) _ ch 41
Power ratio (theta) _ ch 57
histogram_amp _ ch 49 _ bin 3
Mean Freq _ ch 33
Power ratio (beta) _ ch 43
Power ratio (gamma) _ ch 56
Power ratio (gamma) _ ch 59
Med Freq _ ch 54
Power ratio (gamma) _ ch 54
Power ratio (gamma) _ ch 23
Power ratio (gamma) _ ch 33
histogram_amp _ ch 9 _ bin 6
histogram_amp _ ch 18 _ bin 6
correlation 40_58
Max Freq _ ch 43
correlation 55_58
histogram_amp _ ch 11 _ bin 6
histogram_amp _ ch 49 _ bin 7
histogram_amp _ ch 11 _ bin 2
Power ratio (theta) _ ch 59
Power ratio (beta) _ ch 50
Power ratio (gamma) _ ch 49
correlation 35_58
histogram_amp _ ch 49 _ bin 4
Mean Freq _ ch 56
correlation 23_25
